"Id","SalePrice"
1461,111101.958643476
1462,166244.919061014
1463,178275.779590702
1464,194192.050222178
1465,188281.896591401
1466,168626.096704868
1467,176242.118173661
1468,165049.518729947
1469,191696.53472311
1470,121590.987843435
1471,194176.243829889
1472,93405.5252918932
1473,90693.4064790792
1474,151066.980748877
1475,115839.588235755
1476,343190.117817442
1477,252545.178518848
1478,278155.943870963
1479,273149.754521119
1480,496042.798024145
1481,344781.651165301
1482,210996.132718402
1483,172923.405222824
1484,163538.814498765
1485,180396.961449217
1486,199053.598044309
1487,320562.670310462
1488,244050.267368783
1489,201065.207859895
1490,216992.700114441
1491,191568.496863469
1492,87139.9224043303
1493,190048.646272527
1494,297909.009126454
1495,309149.279140615
1496,239330.300579583
1497,177834.760598065
1498,163651.62021733
1499,157784.426373776
1500,154327.739786285
1501,177510.78994053
1502,152256.035897149
1503,293976.48922703
1504,241317.839671134
1505,225742.599355441
1506,195963.931124179
1507,255267.558007707
1508,212834.703857696
1509,162517.138204755
1510,146204.635785014
1511,147087.167708043
1512,172145.304741432
1513,132969.400762812
1514,168430.634582179
1515,202569.876364302
1516,154867.091493556
1517,167213.568899055
1518,138436.315616456
1519,210879.340527995
1520,135444.238637753
1521,135812.348365785
1522,170455.519787681
1523,112431.902344169
1524,126496.160916114
1525,119360.635562308
1526,123234.938828865
1527,108777.024251251
1528,141518.293640274
1529,148741.572592016
1530,178230.183675014
1531,116387.491173281
1532,99392.2757495597
1533,144028.477967724
1534,117480.838924907
1535,150643.46943704
1536,111660.497476974
1537,64409.1535504918
1538,163811.443042811
1539,193075.697061183
1540,93843.826316653
1541,143576.416458873
1542,130359.802331521
1543,214614.50867594
1544,82556.1420617418
1545,102944.051116082
1546,126598.123950902
1547,130261.14909423
1548,121158.545613253
1549,114546.74325692
1550,132834.058810971
1551,109586.240488385
1552,126662.117852033
1553,145933.711778953
1554,119090.844988727
1555,167549.535338571
1556,87773.7703495438
1557,98167.5258366708
1558,93311.1064508712
1559,80590.2192762186
1560,153404.241883166
1561,135694.072411902
1562,128059.440396261
1563,120383.176704281
1564,151130.433381869
1565,138617.627830732
1566,238032.032009132
1567,74463.9272160297
1568,234439.704972312
1569,121167.528271512
1570,139326.369154369
1571,123329.623575294
1572,149045.206550965
1573,229895.119838667
1574,103898.719419516
1575,223944.328671193
1576,237652.379111532
1577,179777.926639002
1578,148339.868741238
1579,144205.231917132
1580,195643.686345828
1581,149932.692592737
1582,127421.764462531
1583,319778.653005468
1584,217416.594323732
1585,141021.89012356
1586,66433.9768792896
1587,102441.754487523
1588,154565.246585236
1589,91467.3861597125
1590,132469.612542702
1591,94264.9199373157
1592,118331.095165524
1593,120595.054048179
1594,130966.724086221
1595,104816.61026434
1596,220744.494666635
1597,176895.278850215
1598,195042.355938378
1599,174488.167908999
1600,165744.907574889
1601,61950.711160589
1602,109130.282884417
1603,85698.8772160083
1604,251092.002211254
1605,239358.891165475
1606,174984.350782231
1607,174257.249785509
1608,198272.286908921
1609,183634.916634886
1610,146432.43057581
1611,141124.388282469
1612,163559.371521977
1613,157199.134948259
1614,128434.9325423
1615,85691.4503959202
1616,78754.5266945976
1617,91683.7555940564
1618,123565.540726847
1619,129648.189915345
1620,169647.090963671
1621,132289.768877521
1622,140593.482328288
1623,292830.071563392
1624,211282.867874653
1625,123559.101673436
1626,169946.456075543
1627,188374.187330131
1628,283475.165110388
1629,180318.919251397
1630,356326.108497691
1631,224939.260208782
